2020-04-02 18:27:01.572 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.kexin.admin.AdminApplicationTests], using SpringBootContextLoader
2020-04-02 18:27:01.582 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.kexin.admin.AdminApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-04-02 18:27:01.584 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.kexin.admin.AdminApplicationTests]: AdminApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-04-02 18:27:01.710 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.kexin.AdminApplication for test class com.kexin.admin.AdminApplicationTests
2020-04-02 18:27:01.822 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-04-02 18:27:01.839 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@ebaa6cb, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@906d29b, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@49d3c823, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@436bc36, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5fe1ce85, org.springframework.test.context.transaction.TransactionalTestExecutionListener@604c5de8, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@37091312, org.springframework.test.context.event.EventPublishingTestExecutionListener@66fdec9, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@57abad67, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@550a1967, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2a640157, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@52851b44, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@584f54e6]
2020-04-02 18:27:01.874 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.kexin.admin.AdminApplicationTests], using SpringBootContextLoader
2020-04-02 18:27:01.875 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.kexin.admin.AdminApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-04-02 18:27:01.876 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.kexin.admin.AdminApplicationTests]: AdminApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-04-02 18:27:01.878 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.kexin.AdminApplication for test class com.kexin.admin.AdminApplicationTests
2020-04-02 18:27:01.880 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-04-02 18:27:01.880 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4fce136b, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4aa83f4f, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@43b6123e, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@260e86a1, org.springframework.test.context.support.DirtiesContextTestExecutionListener@19648c40, org.springframework.test.context.transaction.TransactionalTestExecutionListener@12bd8a64, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@61e94def, org.springframework.test.context.event.EventPublishingTestExecutionListener@3300f4fd, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@ebb6851, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@70ab2d48, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5b068087, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6f152006, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3a393455]
2020-04-02 18:30:11.759 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.kexin.admin.AdminApplicationTests], using SpringBootContextLoader
2020-04-02 18:30:11.769 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.kexin.admin.AdminApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-04-02 18:30:11.771 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.kexin.admin.AdminApplicationTests]: AdminApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-04-02 18:30:11.851 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.kexin.AdminApplication for test class com.kexin.admin.AdminApplicationTests
2020-04-02 18:30:11.939 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-04-02 18:30:11.951 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@68be8808, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@32193bea, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@6b8d96d9, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@69653e16, org.springframework.test.context.support.DirtiesContextTestExecutionListener@758705fa, org.springframework.test.context.transaction.TransactionalTestExecutionListener@ebaa6cb, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@906d29b, org.springframework.test.context.event.EventPublishingTestExecutionListener@49d3c823, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@436bc36, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@5fe1ce85, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@604c5de8, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@37091312, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@66fdec9]
2020-04-02 18:30:11.980 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.kexin.admin.AdminApplicationTests], using SpringBootContextLoader
2020-04-02 18:30:11.982 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.kexin.admin.AdminApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-04-02 18:30:11.983 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.kexin.admin.AdminApplicationTests]: AdminApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-04-02 18:30:11.985 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.kexin.AdminApplication for test class com.kexin.admin.AdminApplicationTests
